Year,Surgeon ID,Surgeon Name,Statewide All CABG Cases,Statewide Isolated CABG Cases,Statewide Isolated CABG Deaths,Statewide Observed Mortality Rate(%), Surgeon Total CABG Cases, Surgeon Total Isolated CABG Cases, Surgeon Total Isolated CABG Deaths,Overall Surgeon Operative Mortality  Risk Adjusted Rate (%),Overall Surgeon LCL,Overall Surgeon UCL,Overall Performance Rating,All CABG Cases per Hospital,Isolated CABG Cases per Hospital,Isolated CABG Deaths per Hospital,Observed Mortality Rate(%) per Hospital,Expected Mortality Rate(%) per Hospital,Risk-Adjusted Mortality Rate(%) per Hospital,Lower 95%CI per Hospital,Upper 95%CI per Hospital,  Performance Rating per Hospital,County,Hospital,OSHPD ID,Longitude,Latitude 
2017-2018,G85458,"Abolhoda, Amir M","32,297","25,838",603,2.33,112,98,4,2.62,0.71,6.71,Average,58,52,2,3.85,3.62,2.48,0.3,8.96,Average,Los Angeles,Lakewood Regional Medical Center,106190240,-118.15,33.86
2017-2018,G85458,"Abolhoda, Amir M","32,297","25,838",603,2.33,112,98,4,2.62,0.71,6.71,Average,54,46,2,4.35,3.66,2.77,0.34,10.02,Average,Los Angeles,Memorialcare Long Beach Medical Center,106190525,-118.19,33.81
2017-2018,A75917,"Abraham, Reginald G","32,297","25,838",603,2.33,88,76,4,7.66,2.09,19.61,Average,88,76,4,5.26,1.6,7.66,2.09,19.61,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,G54880,"Adamson, Robert M","32,297","25,838",603,2.33,63,39,2,6.2,0.75,22.4,Average,63,39,2,5.13,1.93,6.2,0.75,22.4,Average,San Diego,Sharp Memorial Hospital,106370694,-117.16,32.8
2017-2018,G87135,"Afifi, Alaa Y","32,297","25,838",603,2.33,85,79,6,4.36,1.6,9.48,Average,19,17,2,11.76,4.51,6.08,0.74,21.97,Average,Orange,Anaheim Global Medical Center,106301188,-117.91,33.82
2017-2018,G87135,"Afifi, Alaa Y","32,297","25,838",603,2.33,85,79,6,4.36,1.6,9.48,Average,52,49,4,8.16,4.38,4.35,1.19,11.15,Average,Orange,Fountain Valley Regional Hospital and Medical Center - Euclid,106301175,-117.94,33.72
2017-2018,G87135,"Afifi, Alaa Y","32,297","25,838",603,2.33,85,79,6,4.36,1.6,9.48,Average,13,12,0,0,2.19,0,0,32.8,Average,Orange,Orange County Global Medical Center,106301566,-117.83,33.75
2017-2018,G87135,"Afifi, Alaa Y","32,297","25,838",603,2.33,85,79,6,4.36,1.6,9.48,Average,1,1,0,0,4.07,0,0,100,Average,Orange,West Anaheim Medical Center,106301379,-117.99,33.82
2017-2018,A113496,"Ahmadi-Kashani, Mastaneh","32,297","25,838",603,2.33,91,84,0,0,0,6.22,Average,23,22,0,0,1.23,0,0,31.79,Average,Los Angeles,Adventist Health Glendale,106190323,-118.23,34.15
2017-2018,A113496,"Ahmadi-Kashani, Mastaneh","32,297","25,838",603,2.33,91,84,0,0,0,6.22,Average,35,32,0,0,2.01,0,0,13.38,Average,Los Angeles,California Hospital Medical Center - Los Angeles,106190125,-118.27,34.04
2017-2018,A113496,"Ahmadi-Kashani, Mastaneh","32,297","25,838",603,2.33,91,84,0,0,0,6.22,Average,8,8,0,0,2.15,0,0,50.03,Average,Los Angeles,Garfield Medical Center,106190315,-118.12,34.07
2017-2018,A113496,"Ahmadi-Kashani, Mastaneh","32,297","25,838",603,2.33,91,84,0,0,0,6.22,Average,25,22,0,0,1.36,0,0,28.87,Average,Los Angeles,Glendale Memorial Hospital and Health Center,106190522,-118.26,34.13
2017-2018,A81819,"Ali, Mir W","32,297","25,838",603,2.33,241,212,9,4.33,1.98,8.21,Average,241,212,9,4.25,2.29,4.33,1.98,8.21,Average,San Bernardino,St. Bernardine Medical Center,106361339,-117.28,34.13
2017-2018,A130357,"Allen, Jeremiah G","32,297","25,838",603,2.33,214,170,0,0,0,4.93,Average,214,170,0,0,1.03,0,0,4.93,Average,San Francisco,Kaiser Foundation Hospital - San Francisco,106380857,-122.44,37.78
2017-2018,G156509,"Allen, Keith R","32,297","25,838",603,2.33,25,24,0,0,0,14.5,Average,25,24,0,0,2.47,0,0,14.5,Average,Solano,North Bay Medical Center,106481357,-122.05,38.26
2017-2018,G86186,"Alyono, David","32,297","25,838",603,2.33,39,36,0,0,0,15.81,Average,39,36,0,0,1.51,0,0,15.81,Average,Santa Clara,Kaiser Foundation Hospital - Santa Clara,106434153,-122,37.33
2017-2018,A43203,"Anastassiou, Peter T","32,297","25,838",603,2.33,10,10,0,0,0,75.96,Average,2,2,0,0,0.84,0,0,100,Average,Marin,Marin General Hospital,106211006,-122.54,37.95
